@relation OMG

@attribute price numeric
@attribute retail_price numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute size_encoded numeric
@attribute price_converted numeric
@attribute color_encoded numeric
@attribute units_sold_categories {Slow,Hot,Stable}

@data
7,6,1,3.64,0,0,0,0,50,2,0,104,50,4.264327,0,8,7.7,46,Slow
6,6,0,3.96,0,0,0,0,50,2,0,40,50,3.998651,0,2,6.6,60,Hot
8,7,1,3.71,0,0,0,0,50,2,0,35,50,3.965701,0,2,8.8,20,Hot
4.7,17,1,4,0,0,0,0,3,1,0,43,50,4.006692,0,1,5.17,11,Slow
4,4,1,3.45,0,0,0,0,46,1,0,45,50,4.149262,0,8,4.4,60,Hot
8,7,1,3.57,0,0,0,0,50,2,0,41,50,3.945946,0,2,8.8,60,Stable
16,59,1,3.5,0,0,0,0,50,4,0,43,50,3.897141,0,8,17.6,4,Stable
11,10,0,3.29,0,0,0,0,50,3,0,80,50,3.732143,0,8,12.1,11,Slow
5.77,5,0,3.85,0,0,0,0,50,2,0,43,50,3.97507,0,2,6.347,4,Hot
8,84,0,4.19,1,0,1,0,50,3,0,37,50,4.187814,0,3,8.8,4,Hot
14,13,0,4.5,1,0,1,0,50,3,0,40,50,4.047725,0,2,15.4,25,Slow
6,26,0,3.25,0,0,0,0,50,2,0,40,50,3.646465,0,1,6.6,4,Slow
13,11,1,4,0,0,0,0,29,3,0,42,50,4.032956,0,2,14.3,69,Slow
11,50,0,4.22,1,0,1,0,50,3,0,43,50,3.96752,0,3,12.1,60,Hot
4,4,0,3.39,0,0,0,0,7,1,0,48,50,3.884544,0,2,4.4,46,Stable
5.77,16,0,3.72,0,0,0,0,50,2,0,44,50,4.220091,0,4,6.347,4,Stable
9,50,0,4.17,0,0,0,0,50,3,0,41,50,4.007149,0,3,9.9,4,Hot
11,16,1,3.75,0,0,0,0,50,2,0,42,50,4.1524,1,1,12.1,4,Hot
9,22,1,4.24,0,0,0,0,7,3,0,51,50,4.231842,0,2,9.9,25,Stable
